Accession	Samples	Title	Description
GSE155090	6	Changes in whole heart gene expression resulting from endothelial TLR2 deletion	We report the application of bulk RNA sequencing for profiling changes in mouse cardiac lysates as a result of changes in innate immunity function. We generated an inducible endothelial cell toll-like receptor 2 knockout and assessed changes in overall gene expression in the absence of pathogen presence. We find that over 200 genes are differentially regulated between the two genotypes that are solely due to the presence of endogenous signaling within these animals.
GSE174535	15	Liver transcriptome analysis comparing gene expression between Esr1 knockout mice and wild type littermates	The overall purpose of the study is to understand the origin of the different DNA methylation patterns in mice with different sex phenotypes. Specifically, we look at the roles of three factors associated with sex hormone signaling, including estrogen receptor alpha (ESR1), during development in mouse liver. In order to do that, we compare the transcriptomes of male and female B6N(Cg)-Esr1^tm4.2Ksk/J mice (ESR1 KO) mice and wild type (WT) control littermates, and identify differentially expressed genes.
GSE165978	9	Muscle Stem Cell Response to Perturbations of the Neuromuscular Junction Are Attenuated With Aging	During aging and neuromuscular diseases, there is a progressive loss of skeletal muscle volume and function, which is often associated with denervation and a loss of muscle stem cells (MuSCs). A relationship between MuSCs and innervation has not been established however. Herein, we administered neuromuscular trauma to a MuSC lineage tracing model and observed a subset of MuSCs specifically engraft in a position proximal to the neuromuscular junction (NMJ).
GSE164519	12	Induction of a colitogenic phenotype in Th1-like cells depends on interleukin-23 receptor signaling [in vivo]	Th1 cells were adoptively transferred into RAG1 KO mice from either wildtype (Il23rwt/eGFP) or KO (Il23reGFP/eGFP) donors. At the peak of disease in recipients of wildtype cells, the animals were euthanized and intestinal T cells were isolated from the chosen recipients of both wildtype and KO cells for 10x massively parallel single-cell RNA-sequencing.
GSE164518	768	Induction of a colitogenic phenotype in Th1-like cells depends on interleukin-23 receptor signaling [in vitro]	Single-cell RNA-sequencing of in vitro differentiated T cells cultured with IL-12+IL-21+IL-23 (Th1 cell condition) or IL-1b+IL-6+IL-23 (pathogenic Th17 cell condition)
GSE161964	6	Repeat elements analysis of  Wild Type (WT) and Actb-/- (KO) Mouse Embryonic Fibroblasts using RNA-Seq	RNA sequencing of  Wild Type (WT) and Actb-/- (KO) Mouse Embryonic Fibroblasts. Total RNA was sequenced to analyse noncoding transcripts and repeats
GSE130863	8	RNA-Seq of whole kidneys of Six2Cre+TFAP2Afl/flTFAP2Bfl/WT mice and control littermates	RNA-Seq of kidneys lacking the gene TFAP2A in the nephron and that are heterozygous for TFAP2B
GSE113939	24	Analysis of inguinal fat from male and female control and adipocyte-specific STAT5 knockout mice	To determine the transcriptomic effects of STAT5 loss on adipose tissue gene expression, we assessed inguinal white adipose tissue of 6-week old male and female control and adipocyte-specific STAT5 knockout mice using a Quant-Seq strategy.
GSE98548	6	Comparing the Transcriptomes of Wild Type and Zp3-Cre mediated Mtor-Oocyte-Conditional Knockout (CKO) Mouse Metaphase II oocytes by RNA-Seq Analysis	The goal of this study is to identify the differentially expressed genes in Zp3-Cre mediated Mtor oocyte-specific knockout (CKO) Metaphase II (MII) oocytes by comparing the transcriptomes of Wild-Type (WT) and CKO Mouse MII oocytes via RNA-Seq Analysis. Methods: mRNA profiles of 3 sets of super-ovulated MII oocytes collected from 24-day old WT- and Mtor CKO female mice were generated by deep sequencing using an Illumina Hiseq2500 platform with 41bp single read.
GSE149223	6	Single-Cell Transcriptome Analysis of Rb1 Conditional Knockout Prospermatogonia	Prospermatogonia, precursors to the mature male germline, undergo a period of sustained quiescence during late fetal and early postnatal development. The purpose of this mitotic arrest is not fully understood. Therefore, utilizing conditional ablation of retinoblastoma protein 1 (Rb1) in mice which blocks entry into quiescence, we analyzed prospermatogonia at the cusp of mitotic arrest at embryonic day 14.5.
GSE98138	12	Next-generation RNA Sequencing and Transcriptome Comparison of Mouse Wild Type and Mesenchymal Tgfbr2 conditional knockout  lungs of E15.5	Lung mesenchymal knockout of transforming growth factor, beta receptor II (Tgfbr2) will lead to lung malformation, including impaired lung branching and cystic lesion. In order to understand the underlying mechanisms, total RNA of wild type and mesenchymal Tgfbr2 knockout lungs were isolated and sequenced using the next-generation RNA sequencing technique.
GSE164369	12	TRIM21 knockout mouse livers show enhanced antioxidant capacity and decreased compensatory proliferation	Acute response to diethylnitrosamine treatment in TRIM21 wild-type and knockout mice were compared and differentially expressed genes were inendified at 48 hours
GSE157677	6	Analysis of the transcriptomic profile of WT mouse embryonic fibroblast (MEF WT) and Nf2-knockout mouse embryonic fibroblast (MEF Nf2 KO) cell lines	Merlin is the tumor suppressor protein encoded by the NF2 gene. The expression of Merlin is remarkably decreased in metastatic breast cancer tissues irrespective of the breast cancer subtype. In order to ascribe clinical relevance, we re-capitulated the loss of Merlin in breast cancer cells. Merlin deficiency elicited a markedly invasive phenotype. In order to overcome the challenge of embryonic lethality of a total Nf2-knockout, we generated a unique mammary-specific Nf2-knockout mouse mammary tumor model.
GSE164534	6	RNA-seq analysis reveals differential expression profile between periostin knockout and wild-type mice	Chondrocyte transcriptome of periostin knockout and wild-type mice showed that 4 genes (Tm4sf1, Evx2, Sscaml1, and GDf10) are statistically significant with FDR <= 0.05. 1247 genes have unadjusted p-values less than 0.05, but only 12 of those have log 2 fold-changes >= |2|. The GO biological process results do show statistically significant up-regulation of cell adhesion, cell signaling, angiogenesis, and differentiation in the KO samples.
GSE163097	8	High-throughput RNA sequencing analysis of mouse pre-pro-B cells and pro-B cells from wild type and Lactoferrin knockout mouse	Purpose: The goal of this study is using  RNA sequencing analysis to evaluate the role lactoferrin in the early development of B cells in mouse Methods: The pre-pro-B cells and pro-B cells were isolated from the wild type and lactoferrin knockout mice (n=3 for each group) by flow cytometry. Then the cell RNA was sequenced by the NovaSeq 6000 high-throughput sequencing service (Jingneng, Shanghai, China).
GSE171727	11	The miR-26 family regulates neural differentiation-associated microRNAs and mRNAs by directly targeting REST	Our data identify the miR-26 family as a trigger of a self-amplifying system essential   for neural differentiation that acts upstream REST-controlled miRs and initiate a  neuronal gene expression program.
GSE148143	18	Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and Tet2 Mutant Macrophage Transcriptomes [RAW264.7]	We used RNA-seq to detect the genes affected by Tet2 or Itaconate (ITA) treatment
GSE171271	17	Sequencing of proximal tubular carnitine-acetyl transferase Heterozygous knockout kidney cortex from mouse	We report the comparison of normal vs proximal tubular cell specific CrAT heterozygous knockout kidney cortex by sequencing analysis
GSE160373	28	RNA resequencing of liver in macrophage-specific-Pparg knockout mice model	Wild type and macrophage-specific-Pparg knockout C57 mice were gavaged with CMC or DEHP for 28 or 90continuous days. At the end of the experiment, livers were harvested for RNA-seq. Data analysis revealed that DEHP induced remarkable changes of lipid metabolic genes in liver, and that loss of Pparg in hepatic macrophages significantly abrogated the elevation of gene overexpression associated with fatty acid metabolism.
GSE160004	10	RNA resequencing of liver in liver-specific-Pparg knockout mice model	Two groups of liver-specific-Pparg knockout C57 mice were gavaged with CMC or DEHP for 28 continuous days. At the end of the experiment, livers were harvested for RNA-seq, we found that metabolism related genes were significantly changed by DEHP in paralell with the PPAR signaling pathway.
GSE169726	6	Behavioral and Gene Expression Analysis of Stxbp6-Knockout Mice	To investigate the impact of Stxbp6 knockout on the brain, we carried out transcriptome analysis on the cortexes of Stxbp6-null (n = 3, KO) and wildtype mice (n = 3, WT) and identified 126 differentially expressed genes (DEGs) in the KO group, of which 57 were upregulated and 69 were downregulated. RNA-seq was performed on the BGISEQ platform by MGI Technology Co., Ltd, Guangdong, China.
GSE169717	12	The miR-424(322)/503 gene cluster regulates pro- vs anti-inflammatory skin DC subset differentiation by modulating TGF-βsignaling	TGF-β family ligands are key regulators of dendritic cell (DC) differentiation and activation. Epidermal Langerhans cells (LCs) require TGF-β family signaling for their differentiation and canonical TGF-β1 signaling secures a non-activated LC state. LCs reportedly control skin inflammation and are replenished from peripheral blood monocytes, which also give rise to pro-inflammatory monocyte-derived DCs (moDCs).
